Province,Total Children,Obesed Children,Percentage,Latitude,Longitude
กำแพงเพชร,26923,2133,7.92,16.48278,99.522662
กระบี่,35259,3164,9,8.0863,98.906283
กาญจนบุรี,25143,2077,8.26,14.02278,99.532811
กาฬสินธุ์,70380,4262,6,16.434167,103.509167
ขอนแก่น,59645,4806,8.06,16.441935,102.835992
จันทบุรี,23025,1918,8.33,12.61134,102.103855
ฉะเชิงเทรา,19217,1994,10.38,13.690419,101.07796
ชลบุรี,31141,2771,8.9,13.361143,100.984672
ชัยนาท,6829,833,12.2,15.185197,100.125125
ชัยภูมิ,34613,2715,7.84,15.806817,102.031503
ชุมพร,28889,2267,7.85,10.49305,99.18002
เชียงราย,29821,2895,9.71,19.907166,99.830955
เชียงใหม่,48849,4458,9.13,18.787747,98.993128
ตรัง,25560,2460,9.62,7.559385,99.611007
ตราด,6923,588,8.49,12.242756,102.517473
ตาก,6793,421,6.2,16.88399,99.12585
นครนายก,10618,1113,10.48,14.20695,101.2131
นครปฐม,32821,3985,12.14,13.81992,100.0622
นครพนม,60482,3381,5.59,17.39204,104.7696
นครราชสีมา,110489,9771,8.84,14.9799,102.0978
นครศรีธรรมราช,22882,2387,10.43,8.432483,99.9599
นครสวรรค์,19199,2074,11,15.69301,100.1226
นนทบุรี,19731,1665,8.44,13.86211,100.5144
นราธิวาส,9689,403,4.16,6.425461,101.825314
น่าน,21490,1690,7.86,18.775632,100.773042
บึงกาฬ,11511,748,6.5,18.36091,103.646446
บุรีรัมย์,92801,4759,5.13,14.993002,103.102919
ปทุมธานี,13522,1642,12.14,14.020839,100.525028
ประจวบคีรีขันธ์,7603,616,8.1,11.816667,99.8
ปราจีนบุรี,15214,1711,11.25,14.04207,101.660087
ปัตตานี,16162,515,3.19,6.761831,101.323255
พระนครศรีอยุธยา,41568,5429,13.06,14.353213,100.56896
พะเยา,21316,1641,7.7,19.215437,100.202369
พังงา,12060,1319,10.94,8.450141,98.525532
พัทลุง,27315,3229,11.82,7.616682,100.074023
พิจิตร,38483,4410,11.46,16.274088,100.334699
พิษณุโลก,27022,2455,9.09,17.036386,100.583514
เพชรบุรี,18110,1647,9.09,12.964922,99.642588
เพชรบูรณ์,32503,2721,8.37,16.301669,101.11928
แพร่,23251,2816,12.11,18.144577,100.140282
ภูเก็ต,2945,247,8.39,7.880448,98.39225
มหาสารคาม,62164,4964,7.99,16.013202,103.161517
มุกดาหาร,15465,1062,6.87,16.569572,104.523121
แม่ฮ่องสอน,12651,657,5.19,19.30203,97.965437
ยโสธร,26021,1582,6.08,15.792641,104.145283
ยะลา,31243,1498,4.79,6.541147,101.280395
ร้อยเอ็ด,67195,4281,6.37,16.05382,103.652004
ระนอง,5029,413,8.21,9.95287,98.608464
ระยอง,33601,2447,7.28,12.707434,101.147352
ราชบุรี,38767,3255,8.4,13.528289,99.813421
ลพบุรี,5667,770,13.59,14.799508,100.653371
ลำปาง,25249,2694,10.67,18.28884,99.490874
ลำพูน,7606,921,12.11,18.574461,99.008722
เลย,27916,2264,8.11,17.486023,101.7223
ศรีสะเกษ,38362,3487,9.09,15.118601,104.322009
สกลนคร,63942,3975,6.22,17.154599,104.134837
สงขลา,71360,5994,8.4,7.1756,100.614347
สตูล,13357,1050,7.86,6.623816,100.067374
สมุทรปราการ,54768,6784,12.39,13.599096,100.599832
สมุทรสงคราม,2059,195,9.47,13.409822,100.002265
สมุทรสาคร,7545,947,12.55,13.547522,100.274396
สระแก้ว,18478,1300,7.04,13.824041,102.064582
สระบุรี,25980,3405,13.11,14.528915,100.910142
สิงห์บุรี,8530,1366,16.01,14.893625,100.396731
สุโขทัย,14099,1723,12.22,17.005557,99.826371
สุพรรณบุรี,52483,5946,11.33,14.474489,100.117713
สุราษฎร์ธานี,73397,9659,13,9.138239,99.321748
สุรินทร์,79050,4276,5.41,14.882905,103.493711
หนองคาย,22472,1936,8.62,17.87828,102.741264
หนองบัวลำภู,56630,3060,5.4,17.221825,102.426037
อำนาจเจริญ,15595,843,5.41,14.589605,100.455052
อ่างทอง,13500,1750,12.96,14.589605,100.455052
อุดรธานี,95552,6270,6.56,17.413841,102.787233
อุตรดิตถ์,17926,1934,10.79,17.6297,100.0967
อุทัยธานี,10022,967,9.65,15.3835,100.024553
อุบลราชธานี,69138,4070,5.89,15.228686,104.856422